Comment[SPOT_ID]	Comment[CONTROL_TYPE]	Comment[ORF]	Comment[GENE_NAME]	Comment[ACCESSION_STRING]	Reporter Comment
--GE_BrightCorner	pos				
--DarkCorner	pos				
--(-)3xSLv1	neg				
cmr|c_2962|asap|ABR-0079106	FALSE			cmr|c_2962|asap|ABR-0079106	Putative PTS system IIBC component yfeV [c_2962]
	FALSE	Z4877	putative phosphotransferase system enzyme subunit	cmr|Z4877|asap|ABH-0028530	putative phosphotransferase system enzyme subunit [Z4877]
	FALSE	mokC	regulatory protein for HokC, overlaps CDS of hokC	cmr|b0018|asap|ABE-0047278|asap|ABE-0000064	Gef protein interferes with membrane function when in excess [b0018]
	FALSE	proB	gamma-glutamate kinase	cmr|b0242|asap|ABE-0000830	gamma-glutamate kinase [b0242]
cmr|c_3566|asap|ABR-0079729	FALSE			cmr|c_3566|asap|ABR-0079729	Hypothetical protein [c_3566]
	FALSE	ECs1250	C4-type zinc finger protein (TraR family)	cmr|ECs1250|asap|ACA-0131178	C4-type zinc finger protein [ECs1250]
	FALSE	yahI	putative carbamate kinase	cmr|Z0412|asap|ABH-0024301	putative kinase [Z0412]
	FALSE	ECs1795	putative portal protein	cmr|ECs1795|cmr|ECs2248|cmr|ECs1975|asap|ACA-0131753	putative portal protein [ECs1795]
	FALSE	Z5294	hypothetical protein	cmr|Z5294|asap|ABH-0028920	orf Unknown function [Z5294]
cmr|ECs2229	FALSE			cmr|ECs2229	hypothetical protein [ECs2229]
cmr|c_1548|asap|ABR-0077658	FALSE			cmr|c_1548|asap|ABR-0077658	Putative Regulatory protein CII of bacteriophage [c_1548]
	FALSE	hdhA	7-alpha-hydroxysteroid dehydrogenase, NAD-dependent	cmr|b1619|asap|ABE-0005419	NAD-dependent 7alpha-hydroxysteroid dehydrogenase, dehydroxylation of bile acids [b1619]
cmr|c_2526|cmr|c_4570|asap|ABR-0078659|asap|ABR-0080753	FALSE			cmr|c_2526|cmr|c_4570|asap|ABR-0078659|asap|ABR-0080753	Hypothetical protein yafZ [c_2526]
	FALSE	yecH	hypothetical protein	cmr|Z2962|asap|ABH-0026701	orf, hypothetical protein [Z2962]
	FALSE	oppA	oligopeptide transporter subunit	cmr|b1243|asap|ABE-0004172	oligopeptide transport; periplasmic binding protein [b1243]
	FALSE	yijE	hypothetical protein	cmr|Z5498|asap|ABH-0029104	orf, hypothetical protein [Z5498]
	FALSE	metH	B12-dependent methionine synthase	cmr|ECs4937|asap|ACA-0135049	B12-dependent homocysteine-N5-methyltetrahydrofolate transmethylase [ECs4937]
	FALSE	rffE	UDP-N-acetyl glucosamine-2-epimerase	cmr|b3786|asap|ABE-0012372	UDP-N-acetyl glucosamine -2-epimerase; synthesis of enterobacterial common antigen [b3786]
