Sakai,delta EtpD,pSE380,pSE_EtpD
1496078.431,424092.4092,741496.5986,3288288.288
971988.7955,122362.8692,2788461.538,4272300.469
1614790.287,451790.6336,402061.8557,2897435.897
633333.3333,894444.4444,434156.3786,2933333.333
1228174.603,676767.6768,723300.9709,1450396.825
4888888.889,2888888.889,794117.6471,673245.614
3486394.558,4072164.948,1256097.561,3542857.143
4146981.627,1972789.116,392694.0639,2996941.896
5981087.47,2387706.856,736394.5578,716475.0958
3126843.658,1879432.624,671428.5714,552631.5789
