Sakai,delta EtpD,pSE380,pSE_EtpD
4750000,852564.1026,439814.8148,662162.1622
2000000,666666.6667,588652.4823,569230.7692
2166666.667,757894.7368,699530.5164,154166.6667
4927536.232,618618.6186,682051.2821,565040.6504
5714285.714,973856.2092,628415.3005,307692.3077
2166666.667,792452.8302,3424242.424,2572769.953
1840000,909090.9091,3294871.795,2552380.952
1111111.111,712962.963,2508333.333,2963768.116
1555555.556,2199312.715,2833333.333,3078014.184
1216666.667,4719471.947,1500000,2059701.493
7142857.143,1966666.667,1888429.752,2248587.571
4743589.744,1561181.435,1396057.348,1334666.667
10571428.57,2311111.111,2527777.778,1154970.76
4444444.444,1652173.913,2357575.758,1805232.558
3742138.365,4781144.781,1223958.333,1340206.186
6977777.778,3958333.333,1144607.843,1762254.902
5761904.762,3495145.631,1784482.759,1983333.333
7073170.732,5555555.556,2752192.982,1951282.051
2526041.667,1858974.359,1825757.576,1723214.286
3742138,4781145,1539115.646,1592592.593
