biological_replicate	gene	medium	OD	raw	normalised
1	etpD	glycerol	0.798	4717.0710	5911.116
1	etpD	glycerol	0.798	4316.2010	5408.773
1	etpD	glycerol	0.798	4368.2510	5473.998
2	etpD	glycerol	0.995	4870.8940	4895.37
2	etpD	glycerol	0.995	4935.6540	4960.456
2	etpD	glycerol	0.995	4843.4940	4867.4533
3	etpC	glycerol	0.972	952.5186	979.9574
3	etpC	glycerol	0.972	956.3586	983.9081
3	etpC	glycerol	0.972	815.9486	839.4533
4	etpC	glycerol	1.15	875.8493	761.6081
4	etpC	glycerol	1.15	839.5193	730.0168
4	etpC	glycerol	1.15	806.8293	701.5907
1	etpD	glucose	0.89	1022.6530	1149.048
1	etpD	glucose	0.89	1013.2230	1138.453
1	etpD	glucose	0.89	1085.1430	1219.262
5	etpD	glucose	0.975	1382.6100	1418.061
5	etpD	glucose	0.975	1459.7300	1497.158
5	etpD	glucose	0.975	1514.5600	1553.394
3	etpC	glucose	0.91	252.1696	277.1095
3	etpC	glucose	0.91	234.1596	257.3183
3	etpC	glucose	0.91	251.6196	276.5051
6	etpC	glucose	1.05	321.8280	306.5029
6	etpC	glucose	1.05	360.0180	342.8743
6	etpC	glucose	1.05	339.4480	323.2838
