

Escherichia coli K-12 DH10B
Operon	GeneName	Locus Name	GI	Strand	Pos. Left(pb)	PosRight	Position
1	thrL	ECDH10B_0001	170079664	1	190	255	1
2	thrA	ECDH10B_0002	170079665	1	337	2799	1
2	thrB	ECDH10B_0003	170079666	1	2801	3733	2
2	thrC	ECDH10B_0004	170079667	1	3734	5020	3
3	yaaX	ECDH10B_0005	170079668	1	5234	5530	1
4	yaaA	ECDH10B_0006	170079669	-1	5683	6459	1
5	yaaJ	ECDH10B_0007	170079670	-1	6529	7959	1
6	talB	ECDH10B_0008	170079671	1	8238	9191	1
7	mogA	ECDH10B_0009	170079672	1	9306	9893	1
8	yaaH	ECDH10B_0010	170079673	-1	9928	10494	1
9	yaaW	ECDH10B_0011	170079674	-1	10643	11356	1
10	htgA	ECDH10B_0012	170079675	1	10830	11315	1
11	yaaI	ECDH10B_0013	170079676	-1	11382	11786	1
12	dnaK	ECDH10B_0014	170079677	1	12163	14079	1
12	dnaJ	ECDH10B_0015	170079678	1	14168	15298	2
13	insL-1	ECDH10B_0016	170079679	1	15445	16557	1
14	mokC	ECDH10B_0017	170079680	-1	16751	16960	1
15	hokC	ECDH10B_0018	170079681	-1	16751	16903	1
16	sokC	ECDH10B_0019		1	16952	17006	1
17	nhaA	ECDH10B_0020	170079682	1	17489	18655	1
17	nhaR	ECDH10B_0021	170079683	1	18715	19620	2
18	insA-1	ECDH10B_0023	170079685	-1	20233	20508	1
18	insB-1	ECDH10B_0022	170079684	-1	19811	20314	2
19	rpsT	ECDH10B_0024	170079686	-1	20815	21078	1
20	yaaY	ECDH10B_0025	170079687	1	21181	21399	1
20	ribF	ECDH10B_0026	170079688	1	21407	22348	2
20	ileS	ECDH10B_0027	170079689	1	22391	25207	3
20	lspA	ECDH10B_0028	170079690	1	25207	25701	4
21	fkpB	ECDH10B_0029	170079691	1	25826	26275	1
21	ispH	ECDH10B_0030	170079692	1	26277	27227	2
22	rihC	ECDH10B_0031	170079693	1	27293	28207	1
23	dapB	ECDH10B_0032	170079694	1	28374	29195	1
24	carA	ECDH10B_0033	170079695	1	29651	30799	1
24	carB	ECDH10B_0034	170079696	1	30817	34038	2
25	caiF	ECDH10B_0035	170079697	1	34300	34695	1
26	caiT	ECDH10B_0041	170079703	-1	40417	41931	1
26	caiA	ECDH10B_0040	170079702	-1	39244	40386	2
26	caiB	ECDH10B_0039	170079701	-1	37898	39115	3
26	caiC	ECDH10B_0038	170079700	-1	36271	37839	4
26	caiD	ECDH10B_0037	228937031	-1	35377	36162	5
26	caiE	ECDH10B_0036	170079698	-1	34781	35371	6
27	fixA	ECDH10B_0042	170079704	1	42403	43173	1
27	fixB	ECDH10B_0043	170079705	1	43188	44129	2
27	fixC	ECDH10B_0044	170079706	1	44180	45466	3
27	fixX	ECDH10B_0045	170079707	1	45463	45750	4
27	yaaU	ECDH10B_0046	170079708	1	45807	47138	5
28	kefF	ECDH10B_0047	170079709	1	47246	47776	1
28	kefC	ECDH10B_0048	170079710	1	47769	49631	2
29	folA	ECDH10B_0049	170079711	1	49823	50302	1
30	imp	ECDH10B_0055	170079717	-1	54755	57109	1
30	surA	ECDH10B_0054	170079716	-1	53416	54702	2
30	pdxA	ECDH10B_0053	170079715	-1	52427	53416	3
30	ksgA	ECDH10B_0052	170079714	-1	51609	52430	4
30	apaG	ECDH10B_0051	170079713	-1	51229	51606	5
30	apaH	ECDH10B_0050	170079712	-1	50380	51222	6
31	djlA	ECDH10B_0056	170079718	1	57364	58179	1
32	rluA	ECDH10B_0060	170079719	-1	59687	60346	1
33	mraZ	ECDH10B_0063	170079720	1	63738	64196	1
33	mraW	ECDH10B_0064	170079721	1	64198	65139	2
33	ftsL	ECDH10B_0065	170079722	1	65136	65501	3
33	ftsI	ECDH10B_0066	170079723	1	65517	67283	4
33	murE	ECDH10B_0067	170079724	1	67270	68757	5
33	murF	ECDH10B_0068	170079725	1	68754	70112	6
33	mraY	ECDH10B_0069	170079726	1	70106	71188	7
33	murD	ECDH10B_0070	170079727	1	71191	72507	8
33	ftsW	ECDH10B_0071	170079728	1	72507	73751	9
33	murG	ECDH10B_0072	170079729	1	73748	74815	10
33	murC	ECDH10B_0073	170079730	1	74869	76344	11
33	ddl	ECDH10B_0074	170079731	1	76337	77257	12
33	ftsQ	ECDH10B_0075	170079732	1	77259	78089	13
33	ftsA	ECDH10B_0076	170079733	1	78086	79348	14
33	ftsZ	ECDH10B_0077	170079734	1	79409	80560	15
33	lpxC	ECDH10B_0078	170079735	1	80661	81578	16
34	secM	ECDH10B_0079	170079736	1	81809	82321	1
34	secA	ECDH10B_0080	170079737	1	82383	85088	2
34	mutT	ECDH10B_0081	170079738	1	85148	85537	3
35	coaE	ECDH10B_0084	170079741	-1	86703	87323	1
