	locus_tag	b_median	ctl_pos	d_median	trt_pos	annotation	startpos
3523	ECs0415	0.9433808851234922	False	0.23538926514408248	True	periplasmic-iron-binding protein	441343
3522	ECs0416	0.9357276412405788	False	0.17470474112776901	True	regulatory protein	442371
40	ECs1121	0.9484409693973481	False	0.05726938281991811	True	host specificity protein	1203336
3754	ECs1161	0.9473190965411816	False	0.2376482992986697	True	excisionase	1247402
3005	ECs1262	0.93821523276438	False	0.19701971216062308	True	hypothetical protein	1321781
2989	ECs1272	0.943690073543219	False	0.13085807756933937	True	rtn-like protein	1337360
2988	ECs1273	0.9453704798900948	False	0.16950419122575427	True	FidL-like protein	1338994
2786	ECs1274	0.9433938273213582	False	0.13423088601451655	True	transcriptional regulator	1339490
2783	ECs1275	0.9444325461165144	False	0.10174403097712469	True	oxidoreductase	1340990
2777	ECs1276	0.9432772697211377	False	0.13539974193012194	True	chaperone protein	1341918
2775	ECs1277	0.9418002511883463	False	0.16406270748876245	True	outer membrane protein	1342604
2769	ECs1278	0.9328928151509602	False	0.20535259911201598	True	outer membrane usher protein	1343954
2764	ECs1279	0.9357593375611228	False	0.18608321548579607	True	chaperone protein	1346529
2763	ECs1280	0.9358787765753744	False	0.23010171084319542	True	major pilin protein	1347316
2761	ECs1281	0.9444701071858925	False	0.17254830568299284	True	hypothetical protein	1347919
2756	ECs1282	0.9475430534043523	False	0.12427532504255812	True	hemagglutinin/hemolysin-like protein	1349939
2754	ECs1283	0.9463246237394594	False	0.10369534972891051	True	hemolysin activator-like protein	1353834
2750	ECs1284	0.9473141053876857	False	0.1318231366718707	True	holo-ACP synthase	1355469
2749	ECs1285	0.9475467883201516	False	0.15513223076329963	True	3-oxoacyl-ACP reductase	1356043
2744	ECs1286	0.9465403614275781	False	0.17265567761733125	True	(3R)-hydroxymyristoyl-ACP dehydratase	1356616
2742	ECs1287	0.9451812950260614	False	0.15896936873665102	True	acyl carrier protein	1357195
2739	ECs1288	0.9463016229904556	False	0.17215269105178638	True	glycine cleavage system protein T	1357503
4542	ECs1289	0.9444674729278392	False	0.14417898114016264	True	3-oxoacyl-ACP synthase	1358737
4541	ECs1290	0.9443815963348554	False	0.17320678211835328	True	hypothetical protein	1361543
4530	ECs1291	0.9445590342181669	False	0.13946265595260254	True	hypothetical protein	1362622
4524	ECs1292	0.9470279014777276	False	0.13511311589518699	True	ABC transporter ATP-binding protein	1363484
4518	ECs1293	0.9434478678376019	False	0.13962320316771445	True	hypothetical protein	1364175
