

Escherichia coli O157:H7 Sakai (EHEC)
Operon	GeneName	Locus Name	GI	Strand	Pos. Left(pb)	PosRight	Position
1	-	ECp021.1n	41223294	1	23288	23482	1
1	papX	pO157p21	10955286	1	23512	23796	2
2	-	ECp023	41223295	1	23965	24195	1
3	-	ECp070	41223300	1	70210	70422	1
4	-	ECp088.2c	41223302	-1	85124	85396	1
5	thrL	ECs0001	15829255	1	190	273	1
6	thrA	ECs0002	15829256	1	354	2816	1
6	-	ECs0003	15829257	1	2818	3750	2
6	-	ECs0004	15829258	1	3751	5037	3
7	-	ECs0005	15829259	1	5251	5547	1
8	-	ECs0006	15829260	-1	5700	6476	1
9	-	ECs0007	15829261	-1	6546	7976	1
10	-	ECs0008	15829262	1	8255	9208	1
11	mogA	ECs0009	15829263	1	9323	9910	1
12	-	ECs0010	15829264	-1	9945	10511	1
13	-	ECs0013	15829267	-1	11399	11803	1
13	-	ECs0012	15829265	-1	10660	11373	2
14	dnaK	ECs0014	15829268	1	12180	14096	1
14	-	ECs0015	15829269	1	14185	15315	2
15	-	ECs0016	15829270	-1	15419	15628	1
16	nhaA	ECs0017	15829271	1	16157	17323	1
16	nhaR	ECs0018	15829272	1	17383	18288	2
17	-	ECs0019	15829273	-1	18326	18853	1
18	-	ECs0024	15829278	-1	22494	23027	1
18	-	ECs0023	15829277	-1	21761	22444	2
18	-	ECs0022	15829276	-1	19298	21748	3
18	-	ECs0021	15829275	-1	18959	19285	4
19	-	ECs0025	15829279	-1	23329	24750	1
20	rpsT	ECs0026	15829280	-1	25220	25483	1
21	-	ECs0027	15829281	1	25586	25810	1
21	ribC	ECs0028	15829282	1	25818	26759	2
21	ileS	ECs0029	15829283	1	26802	29618	3
21	lspA	ECs0030	15829284	1	29618	30112	4
21	-	ECs0031	15829285	1	30200	30649	5
21	ispH	ECs0032	15829286	1	30651	31601	6
22	-	ECs0033	15829287	1	31667	32581	1
23	-	ECs0034	15829288	1	32748	33569	1
24	-	ECs0035	15829289	1	34025	35173	1
24	carB	ECs0036	15829290	1	35191	38412	2
25	-	ECs0037	162139821	1	38673	39068	1
26	-	ECs0043	15829297	-1	44823	46337	1
26	-	ECs0042	15829296	-1	43650	44792	2
26	-	ECs0041	15829295	-1	42304	43521	3
26	caiC	ECs0040	15829294	-1	40677	42245	4
26	-	ECs0039	229544783	-1	39783	40568	5
26	-	ECs0038	15829292	-1	39187	39798	6
27	-	ECs0044	162139820	1	46816	47586	1
27	fixB	ECs0045	15829299	1	47601	48542	2
27	-	ECs0046	15829300	1	48593	49879	3
27	-	ECs0047	15829301	1	49876	50163	4
27	-	ECs0048	15829302	1	50221	51552	5
28	-	ECs0049	15829303	1	51660	52190	1
28	-	ECs0050	15829304	1	52183	54045	2
29	folA	ECs0051	15829305	1	54237	54716	1
30	-	ECs0052	15829306	1	54802	55035	1
31	-	ECs0053	15829307	1	55038	55352	1
32	-	ECs0059	15829313	-1	59730	62084	1
32	-	ECs0058	15829312	-1	58391	59677	2
32	pdxA	ECs0057	15829311	-1	57402	58391	3
32	ksgA	ECs0056	15829310	-1	56584	57405	4
32	apaG	ECs0055	15829309	-1	56204	56581	5
32	apaH	ECs0054	15829308	-1	55349	56197	6
33	djlA	ECs0060	15829314	1	62339	63154	1
34	-	ECs0061	15829315	1	63449	64201	1
35	-	ECs0064	15829318	-1	68360	70711	1
35	-	ECs0063	15829317	-1	65290	68196	2
35	-	ECs0062	15829316	-1	64619	65278	3
36	-	ECs0067	15829321	-1	73194	74894	1
36	-	ECs0066	15829320	-1	71681	73183	2
36	araD	ECs0065	15829319	-1	70786	71481	3
37	-	ECs0068	15829322	1	75233	76111	1
38	-	ECs0069	15829323	1	76197	76961	1
39	tbpA	ECs0072	15829326	-1	79316	80299	1
39	thiP	ECs0071	15829325	-1	77730	79340	2
39	thiQ	ECs0070	15829324	-1	77048	77746	3
40	-	ECs0073	15829327	1	80671	81240	1
41	-	ECs0074	15829328	-1	81469	83127	1
42	-	ECs0078	15829332	-1	86565	88136	1
42	-	ECs0077	38703842	-1	85474	86565	2
42	-	ECs0076	15829330	-1	84071	85471	3
42	leuD	ECs0075	15829329	-1	83455	84060	4
43	-	ECs0079	15829333	-1	88229	88315	1
44	leuO	ECs0080	162139819	1	88955	89917	1
45	-	ECs0081	38703843	1	90235	91959	1
45	ilvH	ECs0082	15829336	1	91962	92453	2
