gi|38704121|ref|NP_311708.2|	hypothetical protein ECs3681	ECs3681	NA
gi|15833318|ref|NP_312091.1|	50S ribosomal protein L27	ECs4064	rpmA
gi|15833319|ref|NP_312092.1|	50S ribosomal protein L21	ECs4065	rplU
gi|15834047|ref|NP_312820.1|	GTP-binding protein	ECs4793	NA
gi|15833315|ref|NP_312088.1|	D-alanyl-D-alanine carboxypeptidase	ECs4061	NA
gi|15833316|ref|NP_312089.1|	GTPase ObgE	ECs4062	obgE
gi|15833317|ref|NP_312090.1|	hypothetical protein ECs4063	ECs4063	NA
gi|15833311|ref|NP_312084.1|	ATP-dependent metalloprotease	ECs4057	hflB
gi|15833312|ref|NP_312085.1|	23S rRNA methyltransferase	ECs4058	rrmJ
gi|15833313|ref|NP_312086.1|	RNA-binding protein YhbY	ECs4059	NA
gi|15832709|ref|NP_311482.1|	protein disaggregation chaperone	ECs3455	NA
gi|38704265|ref|NP_944587.1|	hypothetical protein ECs5595	ECs5595	NA
gi|15833251|ref|NP_312024.1|	threonine dehydratase	ECs3997	NA
gi|15834178|ref|NP_312951.1|	hypothetical protein ECs4924	ECs4924	NA
gi|15831435|ref|NP_310208.1|	hypothetical protein ECs2181	ECs2181	NA
gi|38704120|ref|NP_311701.2|	amidase	ECs3674	NA
gi|15830568|ref|NP_309341.1|	hypothetical protein ECs1314	ECs1314	NA
gi|15830569|ref|NP_309342.1|	hypothetical protein ECs1315	ECs1315	NA
gi|15834046|ref|NP_312819.1|	glutamine synthetase	ECs4792	glnA
gi|15830562|ref|NP_309335.1|	hypothetical protein ECs1308	ECs1308	NA
gi|15830563|ref|NP_309336.1|	hypothetical protein ECs1309	ECs1309	NA
gi|15830561|ref|NP_309334.1|	hypothetical protein ECs1307	ECs1307	NA
gi|15830566|ref|NP_309339.1|	complement resistance protein	ECs1312	NA
gi|15830567|ref|NP_309340.1|	hypothetical protein ECs1313	ECs1313	NA
gi|15830565|ref|NP_309338.1|	transposase	ECs1311	NA
gi|15830668|ref|NP_309441.1|	protein CsgG	ECs1414	NA
gi|15830769|ref|NP_309542.1|	hypothetical protein ECs1515	ECs1515	NA
gi|15833973|ref|NP_312746.1|	UDP-N-acetylglucosamine 2-epimerase	ECs4719	NA
gi|162139739|ref|NP_312862.2|	2-keto-3-deoxygluconate permease	ECs4835	NA
gi|15830760|ref|NP_309533.1|	phage repressor	ECs1506	NA
gi|15830761|ref|NP_309534.1|	hypothetical protein ECs1507	ECs1507	NA
gi|15830762|ref|NP_309535.1|	hypothetical protein ECs1508	ECs1508	NA
gi|15830763|ref|NP_309536.1|	hypothetical protein ECs1509	ECs1509	NA
gi|15830764|ref|NP_309537.1|	replication protein	ECs1510	NA
gi|15830765|ref|NP_309538.1|	hypothetical protein ECs1511	ECs1511	NA
gi|15830766|ref|NP_309539.1|	hypothetical protein ECs1512	ECs1512	NA
gi|15830767|ref|NP_309540.1|	hypothetical protein ECs1513	ECs1513	NA
gi|15832998|ref|NP_311771.1|	diaminopropionate ammonia-lyase	ECs3744	NA
gi|15833976|ref|NP_312749.1|	glucose-1-phosphate thymidylyltransferase	ECs4722	NA
gi|15833928|ref|NP_312701.1|	ATP synthase F0F1 subunit beta	ECs4674	NA
gi|15833259|ref|NP_312032.1|	transporter	ECs4005	NA
gi|15833977|ref|NP_312750.1|	TDP-fucosamine acetyltransferase	ECs4723	NA
gi|15834371|ref|NP_313144.1|	thiol:disulfide interchange protein	ECs5117	dipZ
gi|15833258|ref|NP_312031.1|	alpha-dehydro-beta-deoxy-D-glucarate aldolase	ECs4004	NA
gi|15833221|ref|NP_311994.1|	hypothetical protein ECs3967	ECs3967	NA
gi|15833222|ref|NP_311995.1|	hypothetical protein ECs3968	ECs3968	NA
gi|15833223|ref|NP_311996.1|	hypothetical protein ECs3969	ECs3969	NA
gi|15833224|ref|NP_311997.1|	transporter	ECs3970	NA
gi|15832730|ref|NP_311503.1|	heat shock protein GrpE	ECs3476	NA
gi|15833226|ref|NP_311999.1|	hypothetical protein ECs3972	ECs3972	NA
gi|15833227|ref|NP_312000.1|	altronate hydrolase	ECs3973	NA
gi|15833228|ref|NP_312001.1|	glucuronate isomerase	ECs3974	NA
gi|15833229|ref|NP_312002.1|	hexuronates transport protein	ECs3975	NA
gi|15831420|ref|NP_310193.1|	tail length tape measure protein	ECs2166	NA
gi|15832316|ref|NP_311089.1|	sugar efflux transport protein	ECs3062	NA
gi|38703928|ref|NP_309440.2|	hypothetical protein ECs1413	ECs1413	NA
gi|38703929|ref|NP_309456.2|	hypothetical protein ECs1429	ECs1429	NA
gi|15832313|ref|NP_311086.1|	PTS system fructose-specific transporter subunit IIBC	ECs3059	NA
gi|15832312|ref|NP_311085.1|	hypothetical protein ECs3058	ECs3058	NA
gi|15832311|ref|NP_311084.1|	hypothetical protein ECs3057	ECs3057	NA
gi|15832310|ref|NP_311083.1|	transport system permease	ECs3056	NA
gi|38703922|ref|NP_309306.2|	chaperone protein	ECs1279	NA
gi|38703923|ref|NP_309314.2|	acyl carrier protein	ECs1287	NA
gi|38703920|ref|NP_944514.1|	hypothetical protein ECs5411	ECs5411	NA
gi|38703921|ref|NP_309302.2|	oxidoreductase	ECs1275	NA
gi|38703926|ref|NP_944517.1|	hypothetical protein ECs5414	ECs5414	NA
gi|38703927|ref|NP_944518.1|	hypothetical protein ECs5415	ECs5415	NA
gi|38703924|ref|NP_944515.1|	hypothetical protein ECs5412	ECs5412	NA
gi|38703925|ref|NP_944516.1|	hypothetical protein ECs5413	ECs5413	NA
gi|15831367|ref|NP_310140.1|	type 1 fimbrial protein	ECs2113	NA
gi|15831366|ref|NP_310139.1|	fimbrial chaperone protein	ECs2112	NA
gi|15831364|ref|NP_310137.1|	outer membrane protein	ECs2110	NA
gi|15831363|ref|NP_310136.1|	fimbrial-like protein	ECs2109	NA
gi|15831362|ref|NP_310135.1|	fimbrial-like protein	ECs2108	NA
gi|15831361|ref|NP_310134.1|	adhesin	ECs2107	NA
gi|15831360|ref|NP_310133.1|	oxidoreductase	ECs2106	NA
gi|15834211|ref|NP_312984.1|	hypothetical protein ECs4957	ECs4957	NA
gi|15831369|ref|NP_310142.1|	hypothetical protein ECs2115	ECs2115	NA
gi|15833926|ref|NP_312699.1|	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase	ECs4672	glmU
gi|15834260|ref|NP_313033.1|	hypothetical protein ECs5006	ECs5006	NA
gi|15831580|ref|NP_310353.1|	repressor for uid operon	ECs2326	NA
gi|15833602|ref|NP_312375.1|	nickel responsive regulator	ECs4348	NA
gi|38704124|ref|NP_311773.2|	phenylhydantoinase	ECs3746	NA
gi|15833632|ref|NP_312405.1|	hypothetical protein ECs4378	ECs4378	NA
gi|15833604|ref|NP_312377.1|	phosphotransferase system enzyme IIA	ECs4350	NA
gi|15833134|ref|NP_311907.1|	hydrogenase 2 b cytochrome subunit	ECs3880	NA
gi|15833135|ref|NP_311908.1|	hydrogenase 2 protein HybA	ECs3881	NA
gi|15832409|ref|NP_311182.1|	hypothetical protein ECs3155	ECs3155	NA
gi|38703994|ref|NP_944541.1|	hypothetical protein ECs5451	ECs5451	NA
gi|15831937|ref|NP_310710.1|	flagellar basal body-associated protein FliL	ECs2683	fliL
gi|15833131|ref|NP_311904.1|	hydrogenase 2-specific chaperone	ECs3877	NA
gi|15833132|ref|NP_311905.1|	hydrogenase 2 maturation endopeptidase	ECs3878	hybD
gi|15833133|ref|NP_311906.1|	hydrogenase 2 large subunit	ECs3879	NA
gi|15832403|ref|NP_311176.1|	O-succinylbenzoate synthase	ECs3149	NA
gi|15832402|ref|NP_311175.1|	O-succinylbenzoic acid--CoA ligase	ECs3148	NA
gi|15832401|ref|NP_311174.1|	polymyxin resistance protein B	ECs3147	NA
gi|15833138|ref|NP_311911.1|	hypothetical protein ECs3884	ECs3884	NA
gi|15832406|ref|NP_311179.1|	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	ECs3152	NA
gi|15832405|ref|NP_311178.1|	acyl-CoA thioester hydrolase	ECs3151	NA
gi|15832404|ref|NP_311177.1|	naphthoate synthase	ECs3150	NA
gi|15834335|ref|NP_313108.1|	protein PhnJ	ECs5081	NA
gi|15831219|ref|NP_309992.1|	antirepressor protein	ECs1965	NA
gi|15831218|ref|NP_309991.1|	endolysin	ECs1964	NA
gi|15831213|ref|NP_309986.1|	hypothetical protein ECs1959	ECs1959	NA
gi|15831212|ref|NP_309985.1|	antitermination protein	ECs1958	NA
gi|15831211|ref|NP_309984.1|	hypothetical protein ECs1957	ECs1957	NA
gi|15831210|ref|NP_309983.1|	hypothetical protein ECs1956	ECs1956	NA
gi|15831217|ref|NP_309990.1|	hypothetical protein ECs1963	ECs1963	NA
gi|15831216|ref|NP_309989.1|	holin	ECs1962	NA
gi|15831215|ref|NP_309988.1|	hypothetical protein ECs1961	ECs1961	NA
gi|15831214|ref|NP_309987.1|	hypothetical protein ECs1960	ECs1960	NA
gi|15831815|ref|NP_310588.1|	phosphogluconate dehydratase	ECs2561	NA
gi|15831814|ref|NP_310587.1|	keto-hydroxyglutarate-aldolase/keto-deoxy-phosphogluconate aldolase	ECs2560	NA
gi|15830818|ref|NP_309591.1|	insertion element IS2 transposase InsD	ECs1564	NA
gi|15830819|ref|NP_309592.1|	transposase	ECs1565	NA
gi|15831811|ref|NP_310584.1|	hypothetical protein ECs2557	ECs2557	NA
gi|15831810|ref|NP_310583.1|	hypothetical protein ECs2556	ECs2556	NA
gi|15831813|ref|NP_310586.1|	phosphoribosylglycinamide formyltransferase 2	ECs2559	purT
gi|15831812|ref|NP_310585.1|	DNA damage-inducible protein YebG	ECs2558	NA
gi|15830812|ref|NP_309585.1|	tail assembly protein	ECs1558	NA
gi|15830813|ref|NP_309586.1|	tail assembly protein	ECs1559	NA
gi|15830810|ref|NP_309583.1|	regulatory protein	ECs1556	NA
gi|15830811|ref|NP_309584.1|	antirepressor protein	ECs1557	NA
gi|15831819|ref|NP_310592.1|	lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase	ECs2565	NA
gi|15831818|ref|NP_310591.1|	pyruvate kinase	ECs2564	NA
gi|15830814|ref|NP_309587.1|	secreted effector protein	ECs1560	NA
gi|15830815|ref|NP_309588.1|	hypothetical protein ECs1561	ECs1561	NA
gi|15833923|ref|NP_312696.1|	fimbrial chaperone	ECs4669	NA
gi|15832546|ref|NP_311319.1|	cysteine synthase B	ECs3292	cysM
gi|15832547|ref|NP_311320.1|	sulfate/thiosulfate transporter subunit	ECs3293	NA
gi|15832544|ref|NP_311317.1|	pyridoxal kinase	ECs3290	pdxK
gi|15832545|ref|NP_311318.1|	hypothetical protein ECs3291	ECs3291	NA
gi|15832542|ref|NP_311315.1|	phosphoenolpyruvate-protein phosphotransferase	ECs3288	NA
gi|15832543|ref|NP_311316.1|	PTS system glucose-specific transporter	ECs3289	NA
gi|15832540|ref|NP_311313.1|	cysteine synthase A	ECs3286	NA
gi|15831428|ref|NP_310201.1|	major capsid protein	ECs2174	NA
gi|15833040|ref|NP_311813.1|	chromosome replication initiation inhibitor protein	ECs3786	NA
gi|15833041|ref|NP_311814.1|	methylmalonyl-CoA mutase	ECs3787	NA
gi|15833042|ref|NP_311815.1|	arginine/ornithine transport system ATPase	ECs3788	NA
gi|38704155|ref|NP_312161.2|	methyltransferase	ECs4134	NA
gi|15833044|ref|NP_311817.1|	coenzyme A transferase	ECs3790	NA
gi|10955336|ref|NP_052677.1|	hypothetical protein pO157p70	pO157p70	NA
gi|38704183|ref|NP_312519.2|	hypothetical protein ECs4492	ECs4492	NA
gi|15832549|ref|NP_311322.1|	sulfate/thiosulfate transporter subunit	ECs3295	NA
gi|15833831|ref|NP_312604.1|	hypothetical protein ECs4577	ECs4577	NA
gi|10955337|ref|NP_052678.1|	hypothetical protein pO157p71	pO157p71	NA
gi|15833598|ref|NP_312371.1|	nickel transporter permease NikB	ECs4344	NA
gi|38704000|ref|NP_310359.2|	oxidoreductase	ECs2332	NA
gi|162139744|ref|NP_312653.2|	heat shock chaperone IbpB	ECs4626	NA
gi|162139745|ref|NP_312623.2|	ribonucleoside transporter	ECs4596	nepI
gi|162139746|ref|NP_312547.2|	DNA-damage-inducible protein D	ECs4520	dinD
gi|162139747|ref|NP_312541.2|	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase	ECs4514	NA
gi|162139740|ref|NP_312766.2|	diaminopimelate epimerase	ECs4739	dapF
gi|15831429|ref|NP_310202.1|	head decoration protein	ECs2175	NA
gi|162139742|ref|NP_312657.2|	oxidoreductase	ECs4630	NA
gi|162139743|ref|NP_312655.2|	hypothetical protein ECs4628	ECs4628	NA
gi|38704087|ref|NP_311342.2|	hypothetical protein ECs3315	ECs3315	NA
gi|162139748|ref|NP_312465.2|	2-hydroxyacid dehydrogenase	ECs4438	NA
gi|162139749|ref|NP_312349.2|	major facilitator superfamily transporter	ECs4322	NA
gi|15831878|ref|NP_310651.1|	hypothetical protein ECs2624	ECs2624	NA
gi|15833545|ref|NP_312318.1|	hypothetical protein ECs4291	ECs4291	NA
