all genes,,,,,,,,,,,,,,,,,,,
BAC screening 1,,,,,,,,,,,,,,,,,,,
Sample ()*,input pool 1,,output pool 1,,input pool 2,,output pool 2,,input pool 3,,output pool 3,,,,,,,,
Pool ()*S,1,,1,,2,,2,,3,,3,,,,,,,,
Systematic,Normalized,Raw,Normalized,Raw,Normalized,Raw,Normalized,Raw,Normalized,Raw,Normalized,Raw,Description,GeneSymbol,GeneName,GO,GenomicCoordinates,EntrezGeneID,PrimaryAccession
A_07_P010275,1,2424.635,0.95377135,1936.138,1,2520.392,0.8474979,1697.318,1,2203.386,0.91555804,1868.207,conserved protein [b4406],yaeP,conserved protein,,chr:213985-213926,1450233,ABE-0047214
A_07_P010469,1,1467.038,1.3295518,1633.023,1,1579.254,1.1890303,1492.112,1,1367.454,1.2490817,1581.802,predicted structural transport element [b1831],proQ,predicted structural transport element,GO:0006970(response to osmotic stress),chr:1913544-1913485,948950,ABE-0006092
A_07_P010617,1,6592.584,0.7129052,3934.895,1,6829.885,0.6843906,3714.274,1,5505.596,0.7591082,3870.406,"acetolactate synthase II, large subunit, C-ter fragment (pseudogene) [b3768]",,,,chr:3949983-3950042,,ABE-0012311
A_07_P010306,1,9920.088,0.96150464,7985.692,0.99999994,9085.448,1.0060501,7263.108,1,7670.479,0.98682755,7009.907,"toxic polypeptide, small [b4415]",hokE,"toxic polypeptide, small",,chr:607143-607202,2847715,ABE-0047279
A_07_P010587,1,3882.538,0.73619664,2393.069,1,3868.054,0.6938202,2132.534,1,2867.199,0.7419711,1970.123,"toxic polypeptide, small [b4455]",hokA,"toxic polypeptide, small",,chr:3718531-3718472,2847732,ABE-0047285
A_07_P010641,1,4785.488,0.72209936,2893.136,1,4407.221,0.82486755,2888.721,1,3874.253,0.82918674,2975.013,conserved protein [b4487],yjdP,conserved protein,,chr:4311959-4312018,2847754,ABE-0174120
A_07_P010525,1,4008.682,1.0242296,3437.515,1,3440.762,1.2122157,3314.294,1,3389.746,0.9000944,2825.555,response regulator inhibitor for tor operon [b4501],torI,response regulator inhibitor for tor operon,,chr:2474473-2474532,1450232,ABE-0269710
A_07_P010506,1,1692.819,1.1042074,1564.973,0.99999994,1674.619,1.1493016,1529.349,1,1462.609,1.1673777,1581.205,conserved protein [b4502],yeiW,conserved protein,GO:0005737(cytoplasm),chr:2263218-2263159,4056031,ABE-0285016
A_07_P010278,1,8955.404,0.97520906,7311.872,1,9315.592,0.95510316,7069.965,0.99999994,7848.227,0.96285826,6998.137,predicted protein [b4504],ykfH,predicted protein,GO:0005737(cytoplasm),chr:263465-263406,1450236,ABE-0285025
