all genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC screening 05082013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ()*,input pool 1,,,output pool 1,,,input pool 2,,,output pool 2,,,input pool 3,,,output pool 3,,,BAC2B24,,,BAC2B5,,,,,,,,,
Pool ()*S,1,,,1,,,2,,,2,,,3,,,3,,,BAC2B24,,,BAC2B5,,,,,,,,,
Systematic,Normalized,Flags,Raw,Normalized,Flags,Raw,Normalized,Flags,Raw,Normalized,Flags,Raw,Normalized,Flags,Raw,Normalized,Flags,Raw,Normalized,Flags,Raw,Normalized,Flags,Raw,Gene Symbol,GeneSymbol,GeneName,GO,GenomicCoordinates,EntrezGeneID,PrimaryAccession
A_07_P010355,1,A,12.36157,0.5219882,A,3.37335,1,A,7.843966,0.88874686,A,4.171007,1,A,4.915425,1.7926391,A,11.95435,0.7031398,A,5.983891,4.434052,P,37.14066,,ymfT,e14 prophage; predicted DNA-binding transcriptional regulator,,chr:1202355-1202414,945720,b1146
A_07_P039196,1,A,7.025802,0.9184139,A,4.198304,1,A,19.82153,0.35170344,A,3.528333,1,A,6.259045,1.960349,A,16.36457,0.8364511,A,7.714549,1.1635487,A,10.56237,,,,,,,c_4761
A_07_P039195,1,A,17.89302,1.1100447,A,15.39075,1,A,13.46242,1.0074831,A,9.727858,1,A,7.353948,5.2447395,A,51.44079,0.60231936,A,8.220437,1.145969,A,15.39387,,,,,,,c_4760
A_07_P039186,1,A,7.562382,3.092971,A,18.12467,1,A,9.684535,0.7198383,A,3.412184,1,A,10.79342,4.0942516,A,58.93818,0.5465983,A,7.462671,6.3435016,P,85.24362,,,,,,,c_4759
A_07_P039181,1,A,12.42681,0.51924783,A,4.409693,1,A,10.95402,0.939744,A,7.38311,1,A,6.154913,2.1811178,A,17.90458,0.73093843,A,7.634623,13.366371,P,137.4128,,,,,,,c_4758
A_07_P039176,1,A,11.89632,1.3446008,A,12.39486,1,A,13.75718,0.7434042,A,7.335179,1,A,5.435179,1.848152,A,13.39722,0.6534131,A,6.590879,0.7857567,A,7.801002,,,,,,,c_4757
A_07_P039171,1,A,4.217513,1.2905189,A,3.459001,0.99999994,A,38.457,0.18127517,A,2.86764,1,A,5.023148,1.8650877,A,12.49506,0.87056375,A,6.139656,1.0281727,A,7.137011,,,,,,,c_4755
A_07_P039170,0.99999994,A,11.67209,1.1094452,A,10.03437,1,A,14.67456,0.6576005,A,6.921233,1,A,4.894885,1.8202657,A,12.13858,0.6375104,A,5.99135,0.8357591,A,7.730816,,,,,,,c_4754
A_07_P039165,1,A,10.92554,0.5905973,A,4.659763,1,A,11.22537,0.62103075,A,3.772682,1,A,6.400346,54.999638,P,469.4901,1.0018907,A,11.07801,1.4314274,A,15.57821,,,,,,,c_4753
A_07_P039140,1,A,5.665222,1.1389835,A,4.655329,1,A,11.20681,0.6220592,A,3.852392,1,A,9.507848,38.266922,P,485.2537,0.9108109,A,8.06085,1.0891892,A,9.48774,,,,,,,c_4739
A_07_P033835,1,A,24.45176,0.6458833,A,12.2377,1,A,12.05448,1.144505,A,9.89515,1,A,6.68235,2.0056412,A,17.87498,0.96098083,A,11.74744,0.8180908,A,9.843213,,aroA,3-phosphoshikimate 1-carboxyvinyltransferase,,,1035769,c_1046
A_07_P039108,1,A,16.87403,0.60435885,A,7.902224,1,A,14.22757,1.4198029,A,14.48822,0.99999994,A,25.00519,0.43720224,A,14.58061,0.50761604,A,6.806576,0.8248643,A,10.88636,,,,,,,c_4728
A_07_P052986,1,A,16.77609,0.6180893,A,8.034848,1,A,9.201281,1.1563792,A,7.63141,1,P,56.70402,0.21045627,A,15.91618,0.60331565,A,7.003409,2.0371692,A,23.27549,,,,,,,ECs3000
A_07_P052981,1,A,6.503745,0.9921352,A,4.705892,1,A,10.89608,0.6397989,A,3.827413,1,P,38.2827,0.73659813,A,37.60939,0.90039045,A,8.336822,1.0996095,A,10.02109,,,,,,,ECs2999
A_07_P052976,1,A,7.065541,0.9132485,A,4.338778,1,A,10.34495,0.6738844,A,3.499031,0.99999994,P,32.76708,0.39096144,A,17.08578,0.91721827,A,7.559373,1.0827818,A,8.783362,,ECs2998,Kil protein,,,916702,ECs2998
A_07_P052972,1,A,16.5558,0.3897483,A,4.575805,1,A,10.14531,1.058669,A,7.703388,1,P,86.65559,0.68568385,A,79.24715,0.80080193,A,8.22178,0.9030169,A,9.125223,,ECs2997,regulatory protein cIII,,,916701,ECs2997
